entity,type,degree_centrality,betweenness,pagerank
United States of America,国家,0.1461,0.0,0.007794
Drama,类型,0.1081,0.0,0.005698
Comedy,类型,0.081,0.0,0.004161
Thriller,类型,0.0601,0.0,0.003221
Action,类型,0.0544,0.0,0.002709
Romance,类型,0.0421,0.0,0.002235
Adventure,类型,0.0373,0.0,0.001808
Crime,类型,0.0328,0.0,0.001683
Horror,类型,0.0244,0.0,0.001316
Science Fiction,类型,0.0251,0.0,0.001305
O,电影,0.027,0.0013,0.001236
Family,类型,0.024,0.0,0.001175
9,电影,0.0214,0.002,0.001029
Fantasy,类型,0.02,0.0,0.000965
United Kingdom,国家,0.0177,0.0,0.000923
Mystery,类型,0.0165,0.0,0.000904
War,电影,0.0175,0.0013,0.000813
After,电影,0.0142,0.0009,0.000699
2009年,年份,0.0116,0.0,0.000688
2014年,年份,0.011,0.0,0.00066
2013年,年份,0.0109,0.0,0.00061
Animation,类型,0.011,0.0,0.000605
2006年,年份,0.011,0.0,0.000604
6.0分,评分值,0.0102,0.0,0.000603
2012年,年份,0.0098,0.0,0.0006
Canada,国家,0.0106,0.0,0.000598
2008年,年份,0.0106,0.0,0.000597
2011年,年份,0.0105,0.0,0.000595
2015年,年份,0.0099,0.0,0.000595
2010年,年份,0.0105,0.0,0.000585
6.6分,评分值,0.0093,0.0,0.000578
6.3分,评分值,0.0098,0.0,0.000568
6.5分,评分值,0.0102,0.0,0.000563
2005年,年份,0.0101,0.0,0.000554
6.7分,评分值,0.01,0.0,0.000551
2007年,年份,0.0092,0.0,0.000551
5.8分,评分值,0.0088,0.0,0.000548
2001年,年份,0.0086,0.0,0.000542
Germany,国家,0.0098,0.0,0.000541
2002年,年份,0.0095,0.0,0.000533
2004年,年份,0.0096,0.0,0.000528
6.1分,评分值,0.0094,0.0,0.000522
6.4分,评分值,0.0095,0.0,0.00052
6.2分,评分值,0.0094,0.0,0.000513
France,国家,0.0092,0.0,0.000501
5.9分,评分值,0.0092,0.0,0.000495
7.0分,评分值,0.0084,0.0,0.000481
History,类型,0.0095,0.0,0.000479
Music,类型,0.0087,0.0,0.00047
6.8分,评分值,0.0081,0.0,0.000459
1999年,年份,0.0081,0.0,0.000457
6.9分,评分值,0.0076,0.0,0.000441
2003年,年份,0.0079,0.0,0.000435
5.6分,评分值,0.0068,0.0,0.000432
2000年,年份,0.0078,0.0,0.000422
5.5分,评分值,0.0072,0.0,0.000407
5.7分,评分值,0.0072,0.0,0.000399
1998年,年份,0.0063,0.0,0.000394
Earth,电影,0.0084,0.0004,0.000381
Documentary,类型,0.0053,0.0,0.000367
York,关键词,0.006,0.0,0.000361
5.4分,评分值,0.006,0.0,0.000343
Australia,电影,0.0062,0.0004,0.000336
7.2分,评分值,0.0056,0.0,0.000334
7.3分,评分值,0.0059,0.0,0.000334
7.1分,评分值,0.0056,0.0,0.000331
Go,电影,0.0069,0.0006,0.000319
They,电影,0.0067,0.0008,0.000319
7.4分,评分值,0.0051,0.0,0.000312
American,关键词,0.0055,0.0,0.000306
Two,关键词,0.005,0.0,0.000303
London,电影,0.0059,0.0004,0.000297
1997年,年份,0.0052,0.0,0.000294
2016年,年份,0.0049,0.0,0.000294
5.3分,评分值,0.005,0.0,0.000292
Three,电影,0.0058,0.0,0.000281
1996年,年份,0.0046,0.0,0.000267
5.2分,评分值,0.0044,0.0,0.000264
5.0分,评分值,0.004,0.0,0.000245
Western,类型,0.004,0.0,0.00023
1995年,年份,0.0033,0.0,0.000205
7.5分,评分值,0.0031,0.0,0.0002
Her,电影,0.0042,0.0001,0.000198
Pi,电影,0.0043,0.0002,0.000193
4.9分,评分值,0.003,0.0,0.00019
India,关键词,0.0023,0.0,0.000185
7.6分,评分值,0.0029,0.0,0.000185
John,关键词,0.003,0.0,0.000183
Jack,关键词,0.002,0.0,0.000179
Robert De Niro,演员,0.0025,0.0,0.000178
4.8分,评分值,0.0025,0.0,0.000177
5.1分,评分值,0.0028,0.0,0.000176
7.7分,评分值,0.0026,0.0,0.000175
China,国家,0.0025,0.0,0.000172
1994年,年份,0.0026,0.0,0.000169
Los,关键词,0.0026,0.0,0.000165
Paul,电影,0.0034,0.0002,0.000163
Chicago,电影,0.0036,0.0,0.000163
4.7分,评分值,0.0024,0.0,0.000163
Based,关键词,0.0027,0.0,0.000162
Joe,电影,0.003,0.0002,0.000158
City,关键词,0.0024,0.0,0.000158
Christopher Plummer,演员,0.0012,0.0,0.000158
Ray,电影,0.0033,0.0,0.000157
Jason Statham,演员,0.0011,0.0,0.000155
British,关键词,0.0024,0.0,0.000152
Max,电影,0.0029,0.0001,0.00015
4.6分,评分值,0.0018,0.0,0.00015
John C. Reilly,演员,0.001,0.0,0.000146
1993年,年份,0.0022,0.0,0.000145
America,关键词,0.002,0.0,0.000143
Josh Hartnett,演员,0.0007,0.0,0.000141
Samuel L. Jackson,演员,0.0021,0.0,0.00014
Julia Stiles,演员,0.0007,0.0,0.000139
Mexico,国家,0.0019,0.0,0.000138
Jennifer Connelly,演员,0.0008,0.0,0.000138
Japan,国家,0.002,0.0,0.000137
Adam,电影,0.0021,0.0,0.000137
Martin Sheen,演员,0.0006,0.0,0.000136
James,关键词,0.002,0.0,0.000135
Spain,国家,0.0018,0.0,0.000134
Bruce Willis,演员,0.0018,0.0,0.000132
World,关键词,0.0017,0.0,0.000132
Now,关键词,0.0018,0.0,0.00013
Nicolas Cage,演员,0.0017,0.0,0.000128
Matt Damon,演员,0.0017,0.0,0.000127
One,关键词,0.0018,0.0,0.000126
Morgan Freeman,演员,0.0017,0.0,0.000125
7.9分,评分值,0.0015,0.0,0.000125
Woody Allen,演员,0.0017,0.0,0.000125
Four,关键词,0.0017,0.0,0.000124
Angeles,关键词,0.0017,0.0,0.000123
Mekhi Phifer,演员,0.0004,0.0,0.000123
Foreign,类型,0.0017,0.0,0.000122
7.8分,评分值,0.0017,0.0,0.000122
Ali,电影,0.0025,0.0002,0.000122
Nicole Kidman,演员,0.0013,0.0,0.000122
Clint Eastwood,演员,0.0017,0.0,0.000121
Martin Landau,演员,0.0005,0.0,0.000121
Shakespeare,关键词,0.0003,0.0,0.000121
8.0分,评分值,0.0016,0.0,0.00012
Ben Stiller,演员,0.0016,0.0,0.000119
Tim Blake Nelson,演员,0.0003,0.0,0.000119
Denzel Washington,演员,0.0015,0.0,0.000118
1981年,年份,0.0016,0.0,0.000117
Tom Hanks,演员,0.0015,0.0,0.000116
1992年,年份,0.0016,0.0,0.000116
1988年,年份,0.0015,0.0,0.000116
United,关键词,0.0016,0.0,0.000116
