name,type,degree
United States of America,国家,3096
Drama,类型,2290
Comedy,类型,1716
Thriller,类型,1274
Action,类型,1153
Romance,类型,892
Adventure,类型,791
Crime,类型,695
O,电影,572
Science Fiction,类型,532
Horror,类型,517
Family,类型,509
9,电影,454
Fantasy,类型,424
United Kingdom,国家,374
War,电影,370
Mystery,类型,350
After,电影,301
2009年,年份,245
2014年,年份,234
2006年,年份,234
Animation,类型,233
2013年,年份,230
2008年,年份,225
Canada,国家,225
2011年,年份,223
2010年,年份,223
6.0分,评分值,216
6.5分,评分值,216
2005年,年份,214
6.7分,评分值,211
2015年,年份,210
Germany,国家,208
6.3分,评分值,207
2012年,年份,207
2004年,年份,203
6.4分,评分值,201
2002年,年份,201
History,类型,201
6.2分,评分值,200
6.1分,评分值,200
6.6分,评分值,197
5.9分,评分值,195
2007年,年份,195
France,国家,195
5.8分,评分值,187
Music,类型,185
2001年,年份,183
Earth,电影,178
7.0分,评分值,178
1999年,年份,171
6.8分,评分值,171
2003年,年份,167
2000年,年份,165
6.9分,评分值,160
5.7分,评分值,153
5.5分,评分值,152
Go,电影,146
5.6分,评分值,144
They,电影,141
1998年,年份,133
Australia,电影,132
York,关键词,128
5.4分,评分值,127
London,电影,126
7.3分,评分值,125
Three,电影,123
7.2分,评分值,119
7.1分,评分值,119
American,关键词,116
Documentary,类型,112
1997年,年份,111
7.4分,评分值,109
5.3分,评分值,105
Two,关键词,105
2016年,年份,104
1996年,年份,97
5.2分,评分值,93
Pi,电影,92
Her,电影,90
5.0分,评分值,84
Western,类型,84
Chicago,电影,76
Paul,电影,73
1995年,年份,70
Ray,电影,69
7.5分,评分值,66
Joe,电影,64
John,关键词,63
4.9分,评分值,63
Max,电影,62
7.6分,评分值,62
5.1分,评分值,60
Based,关键词,57
Los,关键词,55
1994年,年份,55
7.7分,评分值,55
China,国家,54
4.8分,评分值,54
Ali,电影,54
Robert De Niro,演员,54
4.7分,评分值,51
City,关键词,51
Brooklyn,电影,51
British,关键词,50
India,关键词,49
Pan,电影,47
Woo,电影,47
1993年,年份,47
Iris,电影,46
Elizabeth,电影,46
Bobby,电影,45
Adam,电影,45
May,电影,45
Samuel L. Jackson,演员,44
Lucy,电影,43
America,关键词,43
Big,电影,43
Japan,国家,43
Jack,关键词,43
James,关键词,42
Up,电影,40
Mexico,国家,40
Brazil,电影,40
Special,电影,40
Spain,国家,39
One,关键词,39
Bruce Willis,演员,39
Now,关键词,38
4.6分,评分值,38
Stone,电影,38
Once,电影,37
Hop,电影,37
Super,电影,37
Dick,电影,37
Matt Damon,演员,36
Woody Allen,演员,36
Angeles,关键词,36
7.8分,评分值,36
World,关键词,36
Clint Eastwood,演员,36
Four,关键词,35
Foreign,类型,35
Morgan Freeman,演员,35
Annie,电影,35
August,电影,35
Nicolas Cage,演员,35
1992年,年份,34
Emma,电影,34
George Clooney,导演,34
United,关键词,34
Julia,电影,33
1981年,年份,33
Christmas Eve,电影,33
8.0分,评分值,33
Home,电影,33
Ben Stiller,演员,33
7.9分,评分值,32
