head,head_type,relation,tail,tail_type,movie_id
Avatar,电影,执导,James Cameron,导演,19995
Avatar,电影,上映年份,2009年,年份,19995
Avatar,电影,制片国家,United States of America,国家,19995
Avatar,电影,评分,7.2分,评分值,19995
Avatar,电影,主演,Sam Worthington,演员,19995
Avatar,电影,主演,Zoe Saldana,演员,19995
Avatar,电影,主演,Sigourney Weaver,演员,19995
Avatar,电影,主演,Stephen Lang,演员,19995
Avatar,电影,主演,Michelle Rodriguez,演员,19995
Avatar,电影,属于类型,Action,类型,19995
Avatar,电影,属于类型,Adventure,类型,19995
Avatar,电影,属于类型,Fantasy,类型,19995
Avatar,电影,属于类型,Science Fiction,类型,19995
Avatar,电影,描述关键词,Marine,关键词,19995
Avatar,电影,描述关键词,Pandora,关键词,19995
Pirates of the Caribbean: At World's End,电影,执导,Gore Verbinski,导演,285
Pirates of the Caribbean: At World's End,电影,上映年份,2007年,年份,285
Pirates of the Caribbean: At World's End,电影,制片国家,United States of America,国家,285
Pirates of the Caribbean: At World's End,电影,评分,6.9分,评分值,285
Pirates of the Caribbean: At World's End,电影,主演,Johnny Depp,演员,285
Pirates of the Caribbean: At World's End,电影,主演,Orlando Bloom,演员,285
Pirates of the Caribbean: At World's End,电影,主演,Keira Knightley,演员,285
Pirates of the Caribbean: At World's End,电影,主演,Stellan Skarsgård,演员,285
Pirates of the Caribbean: At World's End,电影,主演,Chow Yun-fat,演员,285
Pirates of the Caribbean: At World's End,电影,属于类型,Adventure,类型,285
Pirates of the Caribbean: At World's End,电影,属于类型,Fantasy,类型,285
Pirates of the Caribbean: At World's End,电影,属于类型,Action,类型,285
Pirates of the Caribbean: At World's End,电影,描述关键词,Captain,关键词,285
Pirates of the Caribbean: At World's End,电影,描述关键词,Barbossa,关键词,285
Pirates of the Caribbean: At World's End,电影,描述关键词,Earth,关键词,285
Spectre,电影,执导,Sam Mendes,导演,206647
Spectre,电影,上映年份,2015年,年份,206647
Spectre,电影,制片国家,United Kingdom,国家,206647
Spectre,电影,评分,6.3分,评分值,206647
Spectre,电影,主演,Daniel Craig,演员,206647
Spectre,电影,主演,Christoph Waltz,演员,206647
Spectre,电影,主演,Léa Seydoux,演员,206647
Spectre,电影,主演,Ralph Fiennes,演员,206647
Spectre,电影,主演,Monica Bellucci,演员,206647
Spectre,电影,属于类型,Action,类型,206647
Spectre,电影,属于类型,Adventure,类型,206647
Spectre,电影,属于类型,Crime,类型,206647
Spectre,电影,描述关键词,Bond,关键词,206647
The Dark Knight Rises,电影,执导,Christopher Nolan,导演,49026
The Dark Knight Rises,电影,上映年份,2012年,年份,49026
The Dark Knight Rises,电影,制片国家,United States of America,国家,49026
The Dark Knight Rises,电影,评分,7.6分,评分值,49026
The Dark Knight Rises,电影,主演,Christian Bale,演员,49026
The Dark Knight Rises,电影,主演,Michael Caine,演员,49026
The Dark Knight Rises,电影,主演,Gary Oldman,演员,49026
The Dark Knight Rises,电影,主演,Anne Hathaway,演员,49026
The Dark Knight Rises,电影,主演,Tom Hardy,演员,49026
The Dark Knight Rises,电影,属于类型,Action,类型,49026
The Dark Knight Rises,电影,属于类型,Crime,类型,49026
The Dark Knight Rises,电影,属于类型,Drama,类型,49026
The Dark Knight Rises,电影,属于类型,Thriller,类型,49026
The Dark Knight Rises,电影,描述关键词,District,关键词,49026
The Dark Knight Rises,电影,描述关键词,Attorney,关键词,49026
The Dark Knight Rises,电影,描述关键词,Harvey,关键词,49026
John Carter,电影,执导,Andrew Stanton,导演,49529
John Carter,电影,上映年份,2012年,年份,49529
John Carter,电影,制片国家,United States of America,国家,49529
John Carter,电影,评分,6.1分,评分值,49529
John Carter,电影,主演,Taylor Kitsch,演员,49529
John Carter,电影,主演,Lynn Collins,演员,49529
John Carter,电影,主演,Samantha Morton,演员,49529
John Carter,电影,主演,Willem Dafoe,演员,49529
John Carter,电影,主演,Thomas Haden Church,演员,49529
John Carter,电影,属于类型,Action,类型,49529
John Carter,电影,属于类型,Adventure,类型,49529
John Carter,电影,属于类型,Science Fiction,类型,49529
John Carter,电影,描述关键词,John,关键词,49529
John Carter,电影,描述关键词,Carter,关键词,49529
John Carter,电影,描述关键词,Barsoom,关键词,49529
Spider-Man 3,电影,执导,Sam Raimi,导演,559
Spider-Man 3,电影,上映年份,2007年,年份,559
Spider-Man 3,电影,制片国家,United States of America,国家,559
Spider-Man 3,电影,评分,5.9分,评分值,559
Spider-Man 3,电影,主演,Tobey Maguire,演员,559
Spider-Man 3,电影,主演,Kirsten Dunst,演员,559
Spider-Man 3,电影,主演,James Franco,演员,559
Spider-Man 3,电影,主演,Thomas Haden Church,演员,559
Spider-Man 3,电影,主演,Topher Grace,演员,559
Spider-Man 3,电影,属于类型,Fantasy,类型,559
Spider-Man 3,电影,属于类型,Action,类型,559
Spider-Man 3,电影,属于类型,Adventure,类型,559
Spider-Man 3,电影,描述关键词,Spider,关键词,559
Spider-Man 3,电影,描述关键词,Man,关键词,559
Spider-Man 3,电影,描述关键词,Sandman,关键词,559
Tangled,电影,执导,Byron Howard,导演,38757
Tangled,电影,上映年份,2010年,年份,38757
Tangled,电影,制片国家,United States of America,国家,38757
Tangled,电影,评分,7.4分,评分值,38757
Tangled,电影,主演,Zachary Levi,演员,38757
Tangled,电影,主演,Mandy Moore,演员,38757
